,Unnamed: 0,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
28,1942,569512239344054274,negative,1.0,Bad Flight,0.3531,United,,pawenrick,,0,lost 4 loyal customers and mileage plus card holders. We could have driven to Florida from Pa quicker both ways! Worst trip ever!,,2015-02-22 07:01:13 -0800,Happy Valley,Quito
29,1943,569510828023488512,negative,0.6734,Late Flight,0.6734,United,,throthra,,0,they let us board again but will we fly this time? Who knows!,,2015-02-22 06:55:37 -0800,,
30,1944,569508903735545857,negative,0.6989,Customer Service Issue,0.6989,United,,throthra,,0,apparently sleeping in B terminal wasn't the worst situation. Someone told other UA passengers they had to sleep at baggage claim.,,2015-02-22 06:47:58 -0800,,
31,1945,569508469088387072,negative,1.0,Late Flight,1.0,United,,201Chef,,0,why don't you de-ice while the plane sits there with no one in it for 2 hours ?? Or we could just delay :/,"[40.6941088, -74.17545854]",2015-02-22 06:46:14 -0800,201-600-2130,Central Time (US & Canada)
32,1946,569508282995486720,negative,1.0,Can't Tell,0.6556,United,,DanielPaulEller,,0,fuck you for not caring 😢,,2015-02-22 06:45:30 -0800,Chicago,Central Time (US & Canada)
33,1947,569507834930442241,negative,0.6697,Can't Tell,0.3394,United,,ljsbrooks,,0,"its been five days, I'm just asking you to clarify your policy on car seats. I don't want to have to take this higher up.",,2015-02-22 06:43:43 -0800,,
34,1950,569506670189137920,negative,0.6473,Lost Luggage,0.6473,United,,szymanski_t,,0,if you lost my belongings then BE HONEST!,,2015-02-22 06:39:05 -0800,,Eastern Time (US & Canada)
35,1951,569505479795326977,negative,0.3533,Cancelled Flight,0.3533,United,,CoachMcRoberts,,0,Back at the Denver airport and ready for round two today. Ready to get home!,,2015-02-22 06:34:21 -0800,"Oxford, MS",
36,1952,569505407862902784,negative,0.7099,Customer Service Issue,0.7099,United,,21stCenturyMom,,0,of course this morning I see a non-stop from IAH to SFO but that was not available yesterday.,,2015-02-22 06:34:04 -0800,,Pacific Time (US & Canada)
37,1953,569504786879528962,negative,1.0,Customer Service Issue,0.6662,United,,szymanski_t,,0,20 minutes plus to get through to a two after the first one transferred me to a spanish hotline is unacceptable!,,2015-02-22 06:31:36 -0800,,Eastern Time (US & Canada)
38,1954,569504366006132736,negative,1.0,Lost Luggage,1.0,United,,Therobertlewin,,0,lost my luggage from ATL to  hdn luggage in denver and said  will deliver my luggage to HDN airport claim# hdndl11785,,2015-02-22 06:29:56 -0800,,
39,1955,569504330551861248,negative,1.0,Lost Luggage,1.0,United,,szymanski_t,,0,If United loses your baggage they will get it to the airport in the country your in and then it disappears!,,2015-02-22 06:29:47 -0800,,Eastern Time (US & Canada)
40,1957,569504176306331649,negative,1.0,Late Flight,1.0,United,,bushth07,,0,"Thank you for wasting my time & money. Not only will I now arrive 5 hours Late Flight to my destination, but...",,2015-02-22 06:29:11 -0800,43206,Eastern Time (US & Canada)
41,1958,569504172011356160,negative,1.0,Lost Luggage,1.0,United,,szymanski_t,,0,DO NOT FLY UNITED WITH CHECKED BAGGAGE! It will never find you!,,2015-02-22 06:29:10 -0800,,Eastern Time (US & Canada)
42,1959,569503938690584576,negative,1.0,Customer Service Issue,0.6579999999999999,United,,szymanski_t,,0,why can't you have an English/Spanish rep call me so we can locate my bag and resolve this issue?,,2015-02-22 06:28:14 -0800,,Eastern Time (US & Canada)
43,1960,569503745974902784,negative,1.0,Lost Luggage,1.0,United,,szymanski_t,,0,why would you overnight my bag Wed to an unknown location with a courier company you apparently can't contact!,,2015-02-22 06:27:28 -0800,,Eastern Time (US & Canada)
44,1961,569503649677750272,negative,1.0,Can't Tell,1.0,United,,throthra,,0,"Hey, thanks again for helping me miss my buddies 30th bday, you guys are really a trashy company",,2015-02-22 06:27:05 -0800,,
45,1962,569503367757754369,negative,1.0,Customer Service Issue,1.0,United,,szymanski_t,,0,I have never been more frustrated than my conversations with United who can't speak Spanish to the courier company that has my bag!,,2015-02-22 06:25:58 -0800,,Eastern Time (US & Canada)
46,1963,569503165713948672,negative,1.0,Can't Tell,0.6715,United,,szymanski_t,,0,I have never been mislead by a company as many times as I have this week by United Airlines!,,2015-02-22 06:25:10 -0800,,Eastern Time (US & Canada)
47,1964,569502953851252737,negative,1.0,Can't Tell,0.6723,United,,szymanski_t,,0,I would never fly United Airlines again!,,2015-02-22 06:24:19 -0800,,Eastern Time (US & Canada)
48,1965,569502909093646336,negative,1.0,Late Flight,0.6774,United,,kaf_silva,,0,I am still in the airport waiting for my flight.,,2015-02-22 06:24:09 -0800,,
49,1966,569502869243736065,negative,1.0,Lost Luggage,1.0,United,,szymanski_t,,0,your airline has been telling me that my luggage is one hour away from my destination for 5 days!,,2015-02-22 06:23:59 -0800,,Eastern Time (US & Canada)
50,1967,569502353797173248,negative,1.0,Late Flight,0.6505,United,,jlongoria21,,0,now there is no one to operate the ramp to let us out of the plane in IAH...wow..just wow,,2015-02-22 06:21:56 -0800,"Rio Grande Valley, Texas",Central Time (US & Canada)
51,1970,569500360651509760,negative,1.0,Cancelled Flight,1.0,United,,greghm88,,0,"Cancelled Flights your flight then sends you an email saying \""think about your next flight...\""",,2015-02-22 06:14:01 -0800,London,
52,1971,569500030459117568,negative,1.0,longlines,1.0,United,,jeisensc,,0,"did your super computer 💩 ots pants? Lots of cranky people in line at CMH reFlight Booking Problems, delaying check-ins of on-time, direct flyers","[39.99806982, -82.88439575]",2015-02-22 06:12:42 -0800,"San Diego, CA",Pacific Time (US & Canada)
53,1972,569499434633048065,negative,0.6939,Cancelled Flight,0.3469,United,,BenHabbel,,0,- you rebooked me to UA1764 after UA 3883 was Cancelled Flightled. I paid for first class ticket - but new seat is 38E. Can you please fix!,,2015-02-22 06:10:20 -0800,New York City,Pacific Time (US & Canada)
54,1974,569497995445559298,negative,1.0,Can't Tell,0.6838,United,,EmmeliePickett,,0,is your check-in system down? I'm having trouble checking in for a flight that departs in less than 24 hrs.,,2015-02-22 06:04:37 -0800,"fort worth, tx",Central Time (US & Canada)
55,1975,569497092655345664,negative,1.0,longlines,0.6849,United,,DanielPaulEller,,0,fuck you and your closed premier access lines at ORD. Probably gonna miss my flight...Start treating your customers better.,,2015-02-22 06:01:02 -0800,Chicago,Central Time (US & Canada)
56,1976,569497031322030081,negative,1.0,Bad Flight,1.0,United,,fctry,,0,Good luck with the no-enertainment-on-6-hour-flights strategy. Innovation at work. Hello,,2015-02-22 06:00:47 -0800,"Williamsburg, Brooklyn",Eastern Time (US & Canada)
57,1977,569496936157487104,negative,1.0,Customer Service Issue,1.0,United,,betorides,,0,no HUMAN contact for 2 mths from  cust relations or refund dept. If ever a problem do u have humans I can talk to?,,2015-02-22 06:00:24 -0800,,Quito
58,1978,569496919036305408,negative,1.0,Bad Flight,1.0,United,,ajbohman,,0,you would think you would clean your ramps. Our jet is stuck in the snow in Newark. This would never happen with,,2015-02-22 06:00:20 -0800,Irving Texas,
59,1979,569496828376322048,negative,1.0,Cancelled Flight,0.6497,United,,mahrruk,,0,"I would understand if weather was the issue, but bc of airline maintenance I had to sleep on an airport floor and lose an entire day",,2015-02-22 05:59:59 -0800,Rochester,Eastern Time (US & Canada)
60,1981,569493640990625793,negative,1.0,Late Flight,1.0,United,,_Charette_,,0,flight 403 is delayed 40 min bc a missing screw and were in danger of missing flight 6491,,2015-02-22 05:47:19 -0800,SE AZ By Way of HV,Mountain Time (US & Canada)
61,1982,569491817600655360,negative,0.6701,Customer Service Issue,0.6701,United,,wamo66,,0,after 2 hours and 20 minutes most of which I was on hold I was able to get the Cancelled Flightled flight changed to Delta.,,2015-02-22 05:40:04 -0800,,
62,1983,569491456173477889,negative,1.0,Cancelled Flight,1.0,United,,PubliusTX,,0,"no, ua 6 finally Cancelled Flighted after hrs of delay. The replacement flight leaves Late FlightR than this one was scheduled tomorrow. Not cool.",,2015-02-22 05:38:38 -0800,"Houston, TX",Central Time (US & Canada)
63,1985,569491334643347457,negative,1.0,Flight Booking Problems,1.0,United,,ohsweet_melissa,,0,overbooked by FIFTY people?!? the worst.,,2015-02-22 05:38:09 -0800,,Central Time (US & Canada)
64,1986,569491295766343681,negative,0.6586,Customer Service Issue,0.6586,United,,RodahlLL,,0,On hold 2X 60 min ea. Trying to bk a tix to Asia. Your website & customer service dont want my business. Korea Air it is.,,2015-02-22 05:38:00 -0800,Hong Kong,Central Time (US & Canada)
65,1987,569491079952642051,negative,0.6768,Customer Service Issue,0.3434,United,,kaf_silva,,0,I would like to know what is the easiest way to get a refund.,,2015-02-22 05:37:08 -0800,,
66,1988,569490499377061888,negative,0.6768,Late Flight,0.3388,United,,siobhanvivian,,0,"help me, united! I paid for economy plus on a flight that was changed BC of delay. Will I be automatically refunded?",,2015-02-22 05:34:50 -0800,the burgh,Eastern Time (US & Canada)
67,1989,569490420356374528,negative,0.6821,Bad Flight,0.6821,United,,sap_geek,,0,The engineer that designed the 787 door frame to extend half a foot into the plane for seat 27A should be forced to always sit here,,2015-02-22 05:34:31 -0800,,
68,1991,569488705146068993,negative,1.0,longlines,0.7057,United,,KP_DR_RAMOS,,0,"your service need work - check out this Bush airport \""customer service line\"" last nt",,2015-02-22 05:27:42 -0800,,
69,1992,569487167191425024,negative,0.6596,Customer Service Issue,0.6596,United,,Whosgunz,,0,"you realize you've said this already. At least last time you asked if I needed \""help\""",,2015-02-22 05:21:35 -0800,,
70,1993,569487156399378434,negative,0.6989,Late Flight,0.6989,United,,robbid,,0,Thanks.    This one was delayed an hour and a half prior to scheduled departure.,,2015-02-22 05:21:33 -0800,"Huntington, WV",America/New_York
71,1994,569484965055832065,negative,1.0,Customer Service Issue,1.0,United,,ahaeder,,0,"Also, your phone customer service is almost useless.",,2015-02-22 05:12:50 -0800,PDX,
72,1995,569484788404322304,negative,1.0,Lost Luggage,1.0,United,,traceyabbywhite,,0,lost bag on next flight. Didn't have time to load during the 5 hour delay?Consequence from platinum to gold,,2015-02-22 05:12:08 -0800,"Atlantic Highlands, NJ",Eastern Time (US & Canada)
73,1996,569484671672651776,negative,1.0,Cancelled Flight,1.0,United,,ahaeder,,0,"A day Late Flightr, one delayed & one Cancelled Flightled flight, I'm at a gate with no seat assign. Lots of standby ppl also waiting.",,2015-02-22 05:11:40 -0800,PDX,
74,1997,569484085397057536,negative,0.6556,Late Flight,0.6556,United,,sap_geek,,0,can you not get the first flight of the day off the ground on time?     Let's go.......,,2015-02-22 05:09:21 -0800,,
75,1999,569481897203494914,negative,1.0,Customer Service Issue,1.0,United,,robbid,,0,What does delayed due to Customer Service mean for UA761?,,2015-02-22 05:00:39 -0800,"Huntington, WV",America/New_York
76,2000,569481676893622272,negative,1.0,Bad Flight,0.6659,United,,SagiRoi,,0,wifi wasn't working onboard.Alerted attendant re socket.You sent me to a hotel for 24 hours with 7$ Vouchers??no wifi at hotel,,2015-02-22 04:59:46 -0800,,
77,2001,569481213016023040,negative,0.6513,Late Flight,0.3469,United,,jpfox13,,0,flight  no luck on,,2015-02-22 04:57:56 -0800,the district of colombia,Eastern Time (US & Canada)
78,2004,569480043853946881,negative,1.0,Can't Tell,0.7099,United,,mwbotelho,,0,"I'm not sure it will have \""next time\""...",,2015-02-22 04:53:17 -0800,Curitiba,Brasilia
79,2005,569478901166055424,negative,1.0,Can't Tell,0.6632,United,,svhlatky,,0,now the weight restriction? 'We'll try to get as many of you as we can on this plane',,2015-02-22 04:48:45 -0800,"Kingston, Ontario",
80,2007,569477178703908864,negative,0.6392,Can't Tell,0.6392,United,,cedraughn,,0,you a bish,,2015-02-22 04:41:54 -0800,senior / mount airy,Eastern Time (US & Canada)
81,2010,569475909226401792,negative,1.0,Late Flight,1.0,United,,traceyabbywhite,,0,Conference begins in 3 hours. Up all night due to delays and still waiting to talk to someone about lost luggage.,,2015-02-22 04:36:51 -0800,"Atlantic Highlands, NJ",Eastern Time (US & Canada)
82,2013,569475092582789120,negative,1.0,Customer Service Issue,1.0,United,,traceyabbywhite,,0,is 4:30am and I am in the customer service line trying not to scream.,,2015-02-22 04:33:37 -0800,"Atlantic Highlands, NJ",Eastern Time (US & Canada)
83,2017,569473998519578624,negative,1.0,Late Flight,0.6048,United,negative,traceyabbywhite,"Late Flight
Lost Luggage",0,flighted delayed for hours. 10pm arrival to Vegas is now 4am. Did you seriously lose my luggage???,,2015-02-22 04:29:16 -0800,"Atlantic Highlands, NJ",Eastern Time (US & Canada)
84,2020,569471541554978817,negative,1.0,Cancelled Flight,0.6665,United,,SagiRoi,,0,"2100$ ticket,12h biz trvl,no wifi.Missed con flt,next one meeting,7$ food voucher,hotel chkout wifi",,2015-02-22 04:19:30 -0800,,
85,2021,569470757673291777,negative,1.0,Lost Luggage,1.0,United,,tu_huynh,,0,"still missing my luggage, was promised someone would call, no call so far, flight from Shanghai to DC with connecting flight in ORD",,2015-02-22 04:16:23 -0800,"Washington, DC",Eastern Time (US & Canada)
86,2023,569470053348823040,negative,1.0,Cancelled Flight,1.0,United,,DVERandy,,1,you Cancelled Flightled my flight without notification?,,2015-02-22 04:13:35 -0800,WDVE PITTSBURGH,
87,2024,569469326547222528,negative,0.6811,Late Flight,0.6811,United,,jlongoria21,,0,"since I have an international connection at 9am, I'm hoping for the same thing!",,2015-02-22 04:10:42 -0800,"Rio Grande Valley, Texas",Central Time (US & Canada)
88,2027,569461666695524352,negative,0.6525,Late Flight,0.3475,United,,victor_haydin,,0,it is too Late Flight for reFlight Booking Problems now - it is morning already and I no longer need a hotel room,,2015-02-22 03:40:16 -0800,,Kyiv
89,2028,569460417954746368,negative,1.0,Customer Service Issue,1.0,United,,bartha75,,0,once again your customer service at the providence airport was horrible. Do you actually care about customers or just making money?,"[0.0, 0.0]",2015-02-22 03:35:18 -0800,san diego,
90,2030,569459543236874240,negative,1.0,Cancelled Flight,1.0,United,,greghm88,,0,you have Cancelled Flightled my flight UA922 for aircrft maintenance. I'm delayed 10 hours now. What's my refund options?,,2015-02-22 03:31:49 -0800,London,
91,2031,569457148129779714,negative,1.0,Lost Luggage,1.0,United,,meigheyburn,,0,where is my bag?? I'm in Mexico about to go build a house & my suitcase never got on my flight from CLE w me. I need it. SAN68059M,,2015-02-22 03:22:18 -0800,"Akron, Ohio",Eastern Time (US & Canada)
92,2032,569456035930484737,negative,0.3548,Lost Luggage,0.3548,United,,jimbradshaw4,,0,I know that. Thanks for the standard reply.,,2015-02-22 03:17:53 -0800,,Eastern Time (US & Canada)
93,2033,569454641320062976,negative,1.0,Customer Service Issue,0.6783,United,,chivo2089,,0,you told me you changed my flight and im in the ottawa airport and AC cant find my reservation! Whats wrong with you,,2015-02-22 03:12:21 -0800,Guatemala,
94,2034,569454437288140800,negative,1.0,Bad Flight,0.6289,United,,ahaeder,,0,This has been the WORST flight experience I've ever had. Thank you for ending my vacation on such a bad note.,,2015-02-22 03:11:32 -0800,PDX,
95,2036,569451362687143936,negative,1.0,Cancelled Flight,0.3787,United,,throthra,,0,"hey, it's 4am, guess what I'm doing? Not sleeping! Why? Cause you care so little about your customers you let them sleep in airports",,2015-02-22 02:59:19 -0800,,
96,2037,569448465991737345,negative,1.0,Flight Attendant Complaints,0.344,United,,MMMarketing2014,,0,no my concerns were not addressed,,2015-02-22 02:47:48 -0800,#Westford #marketing ,
97,2038,569445528225718272,negative,1.0,Lost Luggage,0.6875,United,,plazaroff,,0,DUH and done. bag whereabouts unknown. Greeeaat,,2015-02-22 02:36:08 -0800,,Mountain Time (US & Canada)
98,2039,569444898660691968,negative,1.0,Late Flight,0.3488,United,,throthra,,0,"thanks for letting me sleep at DIA to ensure you ruin as much of my vacation as possible. Wait, no, fuck you.",,2015-02-22 02:33:38 -0800,,
99,2040,569444456660750337,negative,1.0,Customer Service Issue,0.6459,United,,throthra,,0,"oh, I'll be sharing alright. Especially about sleeping in this shitty airport and getting 1hr of sleep all night because UA.",,2015-02-22 02:31:52 -0800,,
100,2041,569441937826164736,negative,1.0,Customer Service Issue,0.6709,United,,jaykirell,,0,*if* he needs assistance? Do you expect him to go on a Scooby Doo tour of terminals until he finds his stuff?,,2015-02-22 02:21:52 -0800,"Long Island, NY",Eastern Time (US & Canada)
101,2042,569440689253158912,negative,1.0,Lost Luggage,1.0,United,,MaxAbrahms,,1,Thanks  for writing back. To assist you can return the bag you lost & clean up the feces sprinkled in your bathroom. Too much to ask?,,2015-02-22 02:16:54 -0800,"Boston, MA",Atlantic Time (Canada)
102,2043,569439706339024896,negative,1.0,Customer Service Issue,1.0,United,,Whosgunz,,0,you hung up on me again.,,2015-02-22 02:13:00 -0800,,
103,2044,569439089063280640,negative,1.0,Customer Service Issue,1.0,United,,Whosgunz,,0,"your \""customer service\"" team in manilla is absolute shit. I can't even get a supervisor without being out back on hold?!",,2015-02-22 02:10:33 -0800,,
104,2045,569438763115536384,negative,1.0,Flight Attendant Complaints,0.6438,United,,Whosgunz,,0,it's disgusting and unconscionable the treatment I've received tonight.,,2015-02-22 02:09:15 -0800,,
105,2046,569438531686424577,negative,1.0,Customer Service Issue,1.0,United,,Whosgunz,,0,of course I would like hepl! Are you kidding me? That's the ONLY reason I've been on hold for the past 5 hours!,,2015-02-22 02:08:20 -0800,,
106,2047,569435214717562881,negative,1.0,Late Flight,1.0,United,,joynal03,,0,Every time my united flight got delayed. this is a big frustration.,,2015-02-22 01:55:09 -0800,,
107,2048,569433059168260096,negative,1.0,Customer Service Issue,1.0,United,,Whosgunz,,0,you've got to be kidding me. I still haven't talked to a human and your robotweeting me?! And asking for a follow????,,2015-02-22 01:46:35 -0800,,
108,2049,569431307152953344,negative,1.0,Lost Luggage,1.0,United,,MaxAbrahms,,0,". I wouldn't describe feces sprinkled in your bathroom as an inconvenience. To help, you might find my baggage you lost & return it.",,2015-02-22 01:39:37 -0800,"Boston, MA",Atlantic Time (Canada)
109,2050,569428644432617473,negative,1.0,Customer Service Issue,0.6598,United,,suntoshi,,0,and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best,,2015-02-22 01:29:02 -0800,"Bedford, Nh",Eastern Time (US & Canada)
110,2051,569428333500375040,negative,1.0,Lost Luggage,0.6837,United,,suntoshi,,0,"is that all that matters, not the fact that we're at a different destination, we were put through a tremendous amount of stress,",,2015-02-22 01:27:48 -0800,"Bedford, Nh",Eastern Time (US & Canada)
111,2052,569427993958883328,negative,1.0,Bad Flight,1.0,United,,plazaroff,,1,1k member broken seat back broken tv broken light lost bag  gee thnx. UA922 awesome job,,2015-02-22 01:26:27 -0800,,Mountain Time (US & Canada)
112,2053,569420890003410944,negative,1.0,Customer Service Issue,1.0,United,,Whosgunz,,0,absolutely disgusting the way you treat your customers. Isn't there anyone actively monitoring your Cust serve? This is  unreal!!,,2015-02-22 00:58:14 -0800,,
113,2054,569419949007085568,negative,0.6528,Can't Tell,0.6528,United,,Whosgunz,,0,nice. I wonder how you pick who to respond to? Maybe only happy customers are easier. I wonder how many of those you have left.,,2015-02-22 00:54:29 -0800,,
114,2055,569418652128296960,negative,1.0,Customer Service Issue,0.696,United,,Whosgunz,,0,averaging 200 minute wait times tonight or what? I've gotten no help from you tonight.,,2015-02-22 00:49:20 -0800,,
115,2056,569418497694035969,negative,1.0,Customer Service Issue,1.0,United,,Whosgunz,,0,thanks for nothing. Really?!? 60 minute wait times when I've had to call back 4x. That's 240minute wait times.,,2015-02-22 00:48:43 -0800,,
116,2057,569418233322872833,negative,1.0,Customer Service Issue,1.0,United,,Whosgunz,,0,you're customer service is unbelievably bad. Abysmal. I've been on the phone for well over 2hrs tonight. Hung up on by yr ppl 3x.,,2015-02-22 00:47:40 -0800,,
117,2058,569416650325303297,negative,1.0,Bad Flight,0.3693,United,,throthra,,0,you can read the full story when I submit a case to your team about the pilot of flight 6232 and why we are sleeping in DIA,,2015-02-22 00:41:23 -0800,,
118,2060,569415109933531136,negative,1.0,Late Flight,0.6627,United,,throthra,,0,an inconvenience is a weather delay. Your pilot deciding to waste enough time so the FAA wouldn't let him fly is negligence.,,2015-02-22 00:35:16 -0800,,
119,2061,569415076400242688,negative,1.0,Flight Booking Problems,0.672,United,,RoyLe9,,0,I bought a ticket with a price that was published by mistake and now I got an email that indicates United Cancelled Flightled my ticket! Why?,,2015-02-22 00:35:08 -0800,,Bucharest
120,2062,569411383265075203,negative,1.0,Bad Flight,1.0,United,,gregliefooghe,,0,new 737 plane; wifi: not working. Entertainment: non existent. New Seats: seriously uncomfortable. Really?  UA1550,"[37.61980156, -122.38447633]",2015-02-22 00:20:27 -0800,San Francisco,Pacific Time (US & Canada)
121,2063,569407352299847680,negative,0.7029,Late Flight,0.3619,United,,MarkGilden,,0,- you sure missed the mark on tonight's redeye from LAX to Chicago. What a mess! You can do better!,"[33.94171725, -118.39844033]",2015-02-22 00:04:26 -0800,"Honolulu, HI",Pacific Time (US & Canada)
122,2064,569404245142855680,negative,0.6545,Late Flight,0.6545,United,,TimBouhour,,0,after 443min of avoidable non-weather delays that  link better be giving out,,2015-02-21 23:52:05 -0800,"Raleigh, NC",
123,2065,569402506792407041,negative,1.0,Lost Luggage,1.0,United,,SCVPools,,0,where is our luggage,,2015-02-21 23:45:11 -0800,Southern California and Hawaii,
124,2066,569400869768302592,negative,0.6856,Late Flight,0.6856,United,,mrp,,0,we just left  (delayed).,,2015-02-21 23:38:40 -0800,sf - austin - sydney,Alaska
